호선,출발역,도착역
금정환승(1-4),명학,범계
한대앞환승(4-수인분당),상록수,사리
구리환승(경의-8),도농,장자호수공원
별내환승(경춘-8),갈매,다산
선정릉환승(9-수인분당),삼성중앙,강남구청
마곡나루환승(9-공항철도),양천향교,디지털미디어시티
미금환승(신분당-수인분당),동천,오리
정자환승(신분당-수인분당),판교,수내
수원환승(1-수인분당),화서,고색
원인재환승(수인분당-인천),남동인더스파크,동춘
인천시청환승(인천-인천2),간석오거리,석바위시장
부평환승(1-인천),동암,부평시장
부평구청환승(인천-7),부평시장,산곡
계양환승(공항철도-인천),검암,아라
주안환승(인천2-1),시민공원,도화
석남환승(인천2-7),가정중앙시장,산곡
검암환승(공항철도-인천2),청라국제도시,검바위
회룡환승(1-의정부),의정부,발곡
성신여대입구환승(우이신설-4),정릉,한성대입구
보문환승(우이신설-6),성신여대입구,창신
신설동환승(2-우이신설),용두,보문
김포공항환승(김포도시철도-5),고촌,개화산
김포공항환승(김포도시철도-9),고촌,가양
김포공항환승(공항철도-김포도시철도),계양,고촌
기흥환승(수인분당-용인경전철),상갈,강남대
신림환승(신림-2),서원,봉천
보라매환승(7-신림),신대방삼거리,보라매공원
대방환승(신림-1),서울지방병무청,노량진
샛강환승(신림-9),서울지방병무청,노들
이매환승(경강-수인분당),삼동,야탑
초지환승(서해-수인분당),시우,사리
초지환승(서해-4),시우,오이도
소사환승(서해-1),소새울,역곡
부천종합운동장환승(서해-7),소새울,까치울
김포공항환승(서해-김포도시철도),능곡,고촌
김포공항환승(5-서해),송정,원종
김포공항환승(9-서해),공항시장,능곡
김포공항환승(공항철도-서해),계양,능곡
대곡환승(3-서해),화정,김포공항
